,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1585,379,495,300,0,1,187,71,1,0.0,0.404703,0
1586,25477,1019,12780000,1,1,24,6,1,0.0,0.430646,0
1587,60863,489,7296000,1,1,30,5,1,0.948309,0.0232609,0
1588,2398,99,147000,1,0,105,56,1,0.0,0.436702,0
1589,242,156,66,1,0,0,0,1,0.253008,0.336146,0
1590,464,73,168,1,0,0,0,1,0.999591,0.000184036,0
1591,269,345,56,1,0,0,0,1,0.917801,0.0369897,0
1592,5433,281,13000,1,0,23,11,1,-0.698444,0.8643,0
1593,22870,402,976,1,0,0,1,0,0.76097,0.107563,0
1594,1428,180,1277,1,0,0,0,1,0.0,0.37976,0
1595,8595,74,498,1,0,0,0,1,-0.997452,0.998853,0
1596,4072,2291,659,1,0,0,0,1,-0.448687,0.751909,0
1597,272,199,212,0,0,0,0,1,0.981255,0.00843504,0
1598,10783,1205,708000,1,1,13,6,1,-0.845209,0.930344,0
1599,82200,951,3662,1,1,0,0,1,-0.992308,0.996539,0
1600,64,255,8,0,0,0,0,0,-0.995774,0.998098,0
1601,345,28,39,1,0,0,0,1,0.676301,0.145664,0
1602,20449,431,773000,1,1,9,3,1,0.965592,0.0154837,0
1603,4540,369,68,1,0,0,0,0,0.984952,0.00677159,0
1604,46,658,20,1,0,0,0,1,0.819129,0.0813919,0
1605,8896,75,20,0,0,0,0,0,0.914264,0.0385812,0
1606,6348,681,3232,1,1,0,0,1,0.998108,0.000851277,0
1607,3,25,1,0,0,27,10,1,-0.999984,0.999993,0
1608,84,166,213,0,0,1,3,0,-0.647305,0.841287,0
1609,1274,276,172,1,0,0,0,0,0.774825,0.101329,0
1610,2690,35,80,0,0,0,2,0,-0.999811,0.999915,0
1611,468,66,1,0,0,0,0,1,0.983956,0.00721993,0
1612,2049,386,23,1,0,4,1,0,-0.652466,0.84361,0
1613,19571,260,19000,1,1,0,0,0,0.434791,0.254344,0
1614,69,37,11,1,0,1,0,0,-0.846084,0.930738,0
1615,177,127,7240,1,0,1,0,0,0.0,0.568646,0
1616,210,83,3,1,0,0,1,0,0.938821,0.0275306,0
1617,19560,603,288000,1,1,10,0,1,-0.952348,0.978556,0
1618,8171,243,645,1,0,0,0,0,-0.998832,0.999474,0
1619,220,185,135,1,0,0,0,1,0.677367,0.145185,0
1620,299,381,93,1,0,0,0,0,0.720883,0.125603,0
1621,2395,37,398000,1,1,24,10,0,-0.78285,0.902283,0
1622,779,41,95,1,0,0,0,0,0.999649,0.000158076,0
1623,1468,222,85,1,0,0,0,0,0.999973,1.21923e-05,0
1624,5422,466,199,1,0,0,0,1,0.0,0.368667,0
1625,1,54,46,0,0,0,0,1,0.956062,0.0197719,0
1626,7639,2422,346,1,0,0,1,0,0.257039,0.334332,0
1627,36530,5193,142000,1,1,115,29,0,0.268183,0.329317,0
1628,84,56,139,0,0,3,0,0,0.966311,0.0151601,1
1629,357,275,37,1,0,3,0,1,0.0,0.535349,1
1630,6393,566,5792,1,1,1,0,0,0.662308,0.151961,1
1631,9576,405,439,1,0,3,0,1,0.0,0.502776,1
1632,12,54,2,0,0,0,1,1,0.0,0.392876,1
1633,1491,689,17000,0,1,0,0,1,0.963405,0.0164678,1
1634,688,291,9483,1,0,1,0,0,-0.867775,0.940499,1
1635,9,112,1,0,0,3,0,1,-0.369858,0.716436,1
1636,1666,244,159,1,1,0,4,1,0.554108,0.200651,1
1637,24823,1363,385000,1,1,3,1,1,0.254315,0.335558,1
1638,36944,1313,103000,1,0,0,159,0,-0.481118,0.766503,1
1639,38832,520,234000,1,1,0,1,0,-0.991386,0.996124,1
1640,22370,55,20000,1,1,1,1,1,0.924848,0.0338184,1
1641,2730,86,5211,1,1,1,1,0,0.0,0.499181,1
1642,10009,730,16000,1,1,1,0,1,0.7532,0.11106,1
1643,65702,20,382000,1,1,3,1,0,0.0,0.487386,1
1644,41161,125,220000,1,1,0,4,0,0.430723,0.256175,1
1645,19627,57,28000,1,1,3,2,1,0.0,0.579363,1
1646,5139,341,131000,1,0,3,1,0,0.371757,0.282709,1
1647,333,41,8,0,0,3,1,0,-0.231767,0.654295,1
1648,21045,1681,614,1,1,0,1,1,0.791683,0.0937424,1
1649,66534,2929,230000,1,1,0,1,0,-0.986362,0.993863,1
1650,580,184,253,1,0,1,76,1,0.502149,0.224033,1
1651,1954,814,207,1,0,0,0,1,0.0,0.427298,1
1652,509,382,242,1,0,1,1,0,0.0,0.478509,1
1653,9,263,30,0,0,0,0,0,0.788961,0.0949677,1
1654,135,123,3,0,0,2,1,1,-0.360969,0.712436,1
1655,4348,85,34,1,0,0,1,1,-0.383353,0.722509,1
1656,1946,378,986,0,0,2,1,0,-0.38082,0.721369,1
1657,1387,597,26000,1,1,1,1,1,0.78045,0.0987974,1
1658,7186,158,7774,1,0,0,0,1,0.598594,0.180633,1
1659,423,30,17,0,0,2,0,0,-0.397747,0.728986,1
1660,13,130,49,0,0,0,4,0,0.0,0.39468,1
1661,65,254,1,0,0,3,1,1,-0.542651,0.794193,1
1662,11164,2477,1346000,1,1,1,5,0,0.695636,0.136964,1
1663,3568,858,292,1,0,0,3,0,0.810604,0.0852282,1
1664,18916,1440,37000,1,1,0,0,1,-0.783999,0.9028,1
1665,301,9,3,0,0,0,4,0,0.273346,0.326994,1
1666,9672,689,1506,1,1,0,0,0,-0.744148,0.884867,1
1667,1463,694,66,1,0,0,0,0,0.236996,0.343352,1
1668,6300,4777,2703,1,0,1,4,1,0.0,0.40838,1
1669,523,282,17,1,0,1,1,1,-0.902539,0.956143,1
1670,530,12,1,0,0,1,0,1,0.813898,0.083746,1
